clave provincinombre establecimiento                                           localidad                              tipo organización
0001DC0740    CENTRO DE ADULTOS Nº740/04                                       LA PLATA                               CENTRO DE ADULTOS (EGBA)
0001DC0741    CENTRO DE ADULTOS Nº741/03                                       LOS HORNOS                             CENTRO DE ADULTOS (EGBA)
0001DC0742    CENTRO DE ADULTOS Nº742/12 "PEDRO BENOIT"                        LA PLATA                               CENTRO DE ADULTOS (EGBA)
0001DC0743    CENTRO DE ADULTOS Nº743                                          LA PLATA                               CENTRO DE ADULTOS (EGBA)
0001DC0744    CENTRO DE ADULTOS Nº744/13                                       LA PLATA                               CENTRO DE ADULTOS (EGBA)
0001DC0749    CENTRO DE ADULTOS Nº749/10                                       LA PLATA                               CENTRO DE ADULTOS (EGBA)
0001DC0750    CENTRO DE ADULTOS Nº750                                          JOAQUIN GORINA                         CENTRO DE ADULTOS (EGBA)
0001DE0701    ESCUELA DE ADULTOS Nº701                                         LISANDRO OLMOS                         ESCUELA DE ADULTOS (EGBA)
0001DE0702    ESCUELA DE ADULTOS Nº702                                         LOS HORNOS                             ESCUELA DE ADULTOS (EGBA)
0001DE0703    ESCUELA DE ADULTOS Nº703 "VICENTE RASCIO"                        LA PLATA                               ESCUELA DE ADULTOS (EGBA)
0001DE0704    ESCUELA DE ADULTOS Nº704 "ING. LUIS MONTEVERDE"                  BARRIO LAS QUINTAS                     ESCUELA DE ADULTOS (EGBA)
0001DE0706    ESCUELA DE ADULTOS Nº706 "CARLOS TOMAS SOURIGUES"                LOS HORNOS                             ESCUELA DE ADULTOS (EGBA)
0001DE0709    ESCUELA DE ADULTOS Nº709 "BENITO LYNCH"                          LA PLATA                               ESCUELA DE ADULTOS (EGBA)
0001DE0710    ESCUELA DE ADULTOS Nº710 "DR. MARIAMO MORENO"                    LA PLATA                               ESCUELA DE ADULTOS (EGBA)
0001DE0712    ESCUELA DE ADULTOS Nº712 "REPÚBLICA DE HAITI"                    LA PLATA                               ESCUELA DE ADULTOS (EGBA)
0001DE0713    ESCUELA DE ADULTOS Nº713 "DR. CAMILO SALINAS"                    LA PLATA                               ESCUELA DE ADULTOS (EGBA)
0001DE0718    ESCUELA DE ADULTOS Nº718                                         VILLA ELISA                            ESCUELA DE ADULTOS (EGBA)
0001DE0721    ESCUELA DE ADULTOS Nº721                                         MELCHOR ROMERO                         ESCUELA DE ADULTOS (EGBA)
0001DE0724    ESCUELA DE ADULTOS Nº724                                         LOS HORNOS                             ESCUELA DE ADULTOS (EGBA)
0001DE0731    ESCUELA DE ADULTOS Nº731                                         LA PLATA                               ESCUELA DE ADULTOS (EGBA)
0001DE0746    ESCUELA DE ADULTOS Nº746                                         LISANDRO OLMOS                         ESCUELA DE ADULTOS (EGBA)
0001DM0452    CENTRO EDUCATIVO NIVEL SECUNDARIO Nº452                          LA PLATA                               CENTRO EDUCATIVO DE NIVEL SECUNDARIO (C.E.N.S.)
0001DM0453    CENTRO EDUCATIVO NIVEL SECUNDARIO Nº453                          LA PLATA                               CENTRO EDUCATIVO DE NIVEL SECUNDARIO (C.E.N.S.)
0001DM0454    CENTRO EDUCATIVO NIVEL SECUNDARIO Nº454                          LA PLATA                               CENTRO EDUCATIVO DE NIVEL SECUNDARIO (C.E.N.S.)
0001DM0456    CENTRO EDUCATIVO NIVEL SECUNDARIO Nº456                          LA PLATA                               CENTRO EDUCATIVO DE NIVEL SECUNDARIO (C.E.N.S.)
0001DM0456    CENTRO EDUCATIVO NIVEL SECUNDARIO Nº456                          LA PLATA                               CENTRO EDUCATIVO DE NIVEL SECUNDARIO (C.E.N.S.)
0001DS0001    C.E.B.A.S. Nº1                                                   LA PLATA                               CENTRO ESPECIALIZADO PARA ADULTOS CON ORIENTACIÓN EN SALUD (CEBAS)
0001DS0048    CENTRO ESPECIALIZADO BACHILLER PARA ADULTOS CON ORIENTACIÓN EN SAMANUEL B. GONNET                       CENTRO ESPECIALIZADO PARA ADULTOS CON ORIENTACIÓN EN SALUD (CEBAS)
0001DS2480    EXTENSION A CEBAS Nº48                                           MELCHOR ROMERO                         CENTRO ESPECIALIZADO PARA ADULTOS CON ORIENTACIÓN EN SALUD (CEBAS)
0001EE0503    ESCUELA ESPECIAL Nº503 "J. J. GORRITTI"                          LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0503    ESCUELA ESPECIAL Nº503 "J. J. GORRITTI"                          LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0503    ESCUELA ESPECIAL Nº503 "J. J. GORRITTI"                          LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0509    ESCUELA ESPECIAL Nº509 "DR. CARLOS COMETTO"                      LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0509    ESCUELA ESPECIAL Nº509 "DR. CARLOS COMETTO"                      LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0509    ESCUELA ESPECIAL Nº509 "DR. CARLOS COMETTO"                      LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0514    ESCUELA ESPECIAL Nº514 "LUIS MORZONE"                            LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0514    ESCUELA ESPECIAL Nº514 "LUIS MORZONE"                            LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0514    ESCUELA ESPECIAL Nº514 "LUIS MORZONE"                            LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0515    ESCUELA ESPECIAL Nº515 "LIC.ELINA TEJERINA DE WALSH"             MANUEL B. GONNET                       ESCUELA DE EDUCACIÓN ESPECIAL
