clave provincinombre establecimiento                                           localidad                              tipo organización
0018MS0003    ESCUELA DE EDUCACIÓN SECUNDARIA Nº3                              TRES ALGARROBOS                        ESCUELA SECUNDARIA
0018MS0004    ESCUELA DE EDUCACIÓN SECUNDARIA Nº4 "25 DE MAYO"                 CARLOS TEJEDOR                         ESCUELA SECUNDARIA
0018MS0005    ESCUELA DE EDUCACIÓN SECUNDARIA Nº5 GRAL MANUEL BELGRANO         CURARU                                 ESCUELA SECUNDARIA
0018MS3011    ANEXO Nº1 DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº1                 TIMOTE                                 ESCUELA SECUNDARIA
0018MT0001    ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº1                      CARLOS TEJEDOR                         ESCUELA TÉCNICA
0018PP0001    ESCUELA DE EDUCACIÓN PRIMARIA Nº1 "JUANA CUNTIN DE ALMIRON"      CARLOS TEJEDOR                         ESCUELA DE EDUCACIÓN PRIMARIA
0018PP0002    ESCUELA DE EDUCACIÓN PRIMARIA Nº2 "HIPOLITO YRIGOYEN"            COLONIA SERE                           ESCUELA DE EDUCACIÓN PRIMARIA
0018PP0003    ESCUELA DE EDUCACIÓN PRIMARIA Nº3 "GENERAL JOSE DE SAN MARTIN"   TRES ALGARROBOS                        ESCUELA DE EDUCACIÓN PRIMARIA
0018PP0004    ESCUELA DE EDUCACIÓN PRIMARIA Nº4 "DOMINGO FAUSTINO SARMIENTO"   TIMOTE                                 ESCUELA DE EDUCACIÓN PRIMARIA
0018PP0005    ESCUELA DE EDUCACIÓN PRIMARIA Nº5 "GENERAL MANUEL BELGRANO"      CURARU                                 ESCUELA DE EDUCACIÓN PRIMARIA
0018PP0007    ESCUELA DE EDUCACIÓN PRIMARIA Nº7 "ESTEBAN DE LUCA"              ESTEBAN DE LUCA                        ESCUELA DE EDUCACIÓN PRIMARIA
0018PP0009    ESCUELA DE EDUCACIÓN PRIMARIA Nº9 "JUAN BAUTISTA ALBERDI"        CARLOS TEJEDOR                         ESCUELA DE EDUCACIÓN PRIMARIA
0018PP0010    ESCUELA DE EDUCACIÓN PRIMARIA Nº10 "TRENQUE LAUQUEN"             CARLOS TEJEDOR                         ESCUELA DE EDUCACIÓN PRIMARIA
0018PP0011    ESCUELA DE EDUCACIÓN PRIMARIA Nº11 "ALBERTO HONORIO ALMIRON"     CARLOS TEJEDOR                         ESCUELA DE EDUCACIÓN PRIMARIA
0018PP0012    ESCUELA DE EDUCACIÓN PRIMARIA Nº12 "MARIANO MORENO"              CARLOS TEJEDOR                         ESCUELA DE EDUCACIÓN PRIMARIA
0018PP0013    ESCUELA DE EDUCACIÓN PRIMARIA Nº13 "CONRADO EXCELSO VILLEGAS"    TRES ALGARROBOS                        ESCUELA DE EDUCACIÓN PRIMARIA
0018PP0014    ESCUELA DE EDUCACIÓN PRIMARIA Nº14 "BERNARDINO RIVADAVIA"        CARLOS TEJEDOR                         ESCUELA DE EDUCACIÓN PRIMARIA
0018PP0015    ESCUELA DE EDUCACIÓN PRIMARIA Nº15 "ALMAFUERTE"                  CARLOS TEJEDOR                         ESCUELA DE EDUCACIÓN PRIMARIA
0018PP0016    ESCUELA DE EDUCACIÓN PRIMARIA Nº16 "FRAY MAMERTO ESQUIU"         TRES ALGARROBOS                        ESCUELA DE EDUCACIÓN PRIMARIA
0018PP0018    ESCUELA DE EDUCACIÓN PRIMARIA Nº18 "CONSTANCIO C. VIGIL"         CARLOS TEJEDOR                         ESCUELA DE EDUCACIÓN PRIMARIA
0018PP0019    ESCUELA DE EDUCACIÓN PRIMARIA Nº19 "GUILLERMO BROWN"             CARLOS TEJEDOR                         ESCUELA DE EDUCACIÓN PRIMARIA
0018PP0020    ESCUELA DE EDUCACIÓN PRIMARIA Nº20 "JUAN THOMPSON"               TRES ALGARROBOS                        ESCUELA DE EDUCACIÓN PRIMARIA
0018PP0028    ESCUELA DE EDUCACIÓN PRIMARIA Nº28 "MARTIN MIGUEL DE GÜEMES"     CARLOS TEJEDOR                         ESCUELA DE EDUCACIÓN PRIMARIA
0018PP0033    ESCUELA DE EDUCACIÓN PRIMARIA Nº33 "25 DE MAYO"                  CARLOS TEJEDOR                         ESCUELA DE EDUCACIÓN PRIMARIA
0019DC0701    CENTRO DE ADULTOS Nº701                                          CARMEN DE ARECO                        CENTRO DE ADULTOS (EGBA)
0019DC0702    CENTRO DE ADULTOS Nº702 "DOMINGO FAUSTINO SARMIENTO"             PUEBLO GOUIN                           CENTRO DE ADULTOS (EGBA)
0019EE0501    ESCUELA ESPECIAL Nº501 "IGNACIO CANAL"                           CARMEN DE ARECO                        ESCUELA DE EDUCACIÓN ESPECIAL
0019EE0501    ESCUELA ESPECIAL Nº501 "IGNACIO CANAL"                           CARMEN DE ARECO                        ESCUELA DE EDUCACIÓN ESPECIAL
0019EE0501    ESCUELA ESPECIAL Nº501 "IGNACIO CANAL"                           CARMEN DE ARECO                        ESCUELA DE EDUCACIÓN ESPECIAL
0019EE0501    ESCUELA ESPECIAL Nº501 "IGNACIO CANAL"                           CARMEN DE ARECO                        ESCUELA DE EDUCACIÓN ESPECIAL
0019ET0001    C.E.A.T. Nº1                                                     CARMEN DE ARECO                        CENTRO DE ESTIMULACIÓN Y APRENDIZAJES TEMPRANOS
0019IS0139    INSTITUTO SUPERIOR DE FORMACION DOCENTE Nº139 MARIANO MORENO     CARMEN DE ARECO                        INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
0019JI0901    JARDIN DE INFANTES Nº901 "BERNARDINO RIVADAVIA"                  CARMEN DE ARECO                        JARDÍN DE INFANTES
0019JI0902    JARDIN DE INFANTES Nº902                                         TRES SARGENTOS                         JARDÍN DE INFANTES
0019JI0903    JARDIN DE INFANTES Nº903                                         CARMEN DE ARECO                        JARDÍN DE INFANTES
0019JI0904    JARDIN DE INFANTES Nº904                                         CARMEN DE ARECO                        JARDÍN DE INFANTES
0019JI0905    JARDIN DE INFANTES Nº905                                         CARMEN DE ARECO                        JARDÍN DE INFANTES
0019JI0906    JARDIN DE INFANTES Nº906 "JUAN BAUTISTA ALBERDI"                 CARMEN DE ARECO                        JARDÍN DE INFANTES
0019JI0907    JARDIN DE INFANTES Nº907                                         CARMEN DE ARECO                        JARDÍN DE INFANTES
0019JI0908    JARDIN DE INFANTES Nº908                                         LA CA¥ADA                              JARDÍN DE INFANTES
0019JI0909    JARDIN DE INFANTES Nº909                                         CARMEN DE ARECO                        JARDÍN DE INFANTES
0019JM0001    JARDIN MATERNAL Nº1                                              CARMEN DE ARECO                        JARDÍN MATERNAL
0019JS0001    JARDIN DE INFANTES RURAL Nº1                                     KENNY                                  JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0019JS0002    JARDIN DE INFANTES RURAL Nº2                                     CARMEN DE ARECO                        JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0019JS0003    JARDIN DE INFANTES RURAL Nº3                                     CARMEN DE ARECO                        JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0019JS0004    JARDIN DE INFANTES RURAL Nº4                                     CARMEN DE ARECO                        JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0019JS0005    JARDIN DE INFANTES RURAL Nº5                                     CARMEN DE ARECO                        JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0019JS0006    JARDIN DE INFANTES RURAL Nº6                                     CARMEN DE ARECO                        JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0019JS0007    JARDIN DE INFANTES RURAL Nº7                                     CARMEN DE ARECO                        JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0019MS0001    ESCUELA DE EDUCACIÓN SECUNDARIA Nº1 "JUAN BAUTISTA ALBERDI"      CARMEN DE ARECO                        ESCUELA SECUNDARIA
0019MS0001    ESCUELA DE EDUCACIÓN SECUNDARIA Nº1 "JUAN BAUTISTA ALBERDI"      CARMEN DE ARECO                        ESCUELA SECUNDARIA
0019MS0002    ESCUELA DE EDUCACIÓN SECUNDARIA Nº2 "MARIANO MORENO"             CARMEN DE ARECO                        ESCUELA SECUNDARIA
0019MS0003    ESCUELA DE EDUCACIÓN SECUNDARIA Nº3                              TRES SARGENTOS                         ESCUELA SECUNDARIA
0019MS0004    ESCUELA DE EDUCACIÓN SECUNDARIA Nº4                              CARMEN DE ARECO                        ESCUELA SECUNDARIA
0019MS0005    ESCUELA DE EDUCACIÓN SECUNDARIA Nº5                              CARMEN DE ARECO                        ESCUELA SECUNDARIA
0019MS3051    ANEXO I DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº5                   CARMEN DE ARECO                        ESCUELA SECUNDARIA
0019MT0001    ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº1                      CARMEN DE ARECO                        ESCUELA TÉCNICA
0019PP0001    ESCUELA DE EDUCACIÓN PRIMARIA Nº1 "GENERAL JOSE DE SAN MARTIN"   CARMEN DE ARECO                        ESCUELA DE EDUCACIÓN PRIMARIA
0019PP0002    ESCUELA DE EDUCACIÓN PRIMARIA Nº2 "SAN MIGUEL"                   EX-SANTAMARINA                         ESCUELA DE EDUCACIÓN PRIMARIA
0019PP0003    ESCUELA DE EDUCACIÓN PRIMARIA Nº3 "GENERAL MANUEL BELGRANO"      CARMEN DE ARECO                        ESCUELA DE EDUCACIÓN PRIMARIA
0019PP0004    ESCUELA DE EDUCACIÓN PRIMARIA Nº4 "HIPOLITO YRIGOYEN"            CARMEN DE ARECO                        ESCUELA DE EDUCACIÓN PRIMARIA
0019PP0005    ESCUELA DE EDUCACIÓN PRIMARIA Nº5 "FORTIN DE ARECO"              CARMEN DE ARECO                        ESCUELA DE EDUCACIÓN PRIMARIA
0019PP0006    ESCUELA DE EDUCACIÓN PRIMARIA Nº6 "NUESTRA SEÑORA DEL CARMEN"    CARMEN DE ARECO                        ESCUELA DE EDUCACIÓN PRIMARIA
0019PP0007    ESCUELA DE EDUCACIÓN PRIMARIA Nº7 "JOSE MANUEL ESTRADA"          CARMEN DE ARECO                        ESCUELA DE EDUCACIÓN PRIMARIA
0019PP0008    ESCUELA DE EDUCACIÓN PRIMARIA Nº8 "JUAN BAUTISTA ALBERDI"        CARMEN DE ARECO                        ESCUELA DE EDUCACIÓN PRIMARIA
0019PP0009    ESCUELA DE EDUCACIÓN PRIMARIA Nº9 "DOMINGO OJEDA"                CARMEN DE ARECO                        ESCUELA DE EDUCACIÓN PRIMARIA
0019PP0010    ESCUELA DE EDUCACIÓN PRIMARIA Nº10 "CONSTANCIO C. VIGIL"         CARMEN DE ARECO                        ESCUELA DE EDUCACIÓN PRIMARIA
0019PP0011    ESCUELA DE EDUCACIÓN PRIMARIA Nº11 "SARGENTOS DE TAMBO NUEVO"    TRES SARGENTOS                         ESCUELA DE EDUCACIÓN PRIMARIA
0019PP0012    ESCUELA DE EDUCACIÓN PRIMARIA Nº12 "DOMINGO FAUSTINO SARMIENTO"  CARMEN DE ARECO                        ESCUELA DE EDUCACIÓN PRIMARIA
0019PP0013    ESCUELA DE EDUCACIÓN PRIMARIA Nº13 "JOSE HERNANDEZ"              CARMEN DE ARECO                        ESCUELA DE EDUCACIÓN PRIMARIA
0019PP0014    ESCUELA DE EDUCACIÓN PRIMARIA Nº14 "VICENTE LOPEZ Y PLANES"      CARMEN DE ARECO                        ESCUELA DE EDUCACIÓN PRIMARIA
0019PP0016    ESCUELA DE EDUCACIÓN PRIMARIA Nº16 "RICARDO GÜIRALDES"           CARMEN DE ARECO                        ESCUELA DE EDUCACIÓN PRIMARIA
0019PP0017    ESCUELA DE EDUCACIÓN PRIMARIA Nº17 "BERNARDINO RIVADAVIA"        CARMEN DE ARECO                        ESCUELA DE EDUCACIÓN PRIMARIA
0019PP0018    ESCUELA DE EDUCACIÓN PRIMARIA Nº18 "GUILLERMO BROWN"             CARMEN DE ARECO                        ESCUELA DE EDUCACIÓN PRIMARIA
0019PP0019    ESCUELA DE EDUCACIÓN PRIMARIA Nº19 "MARIANO MORENO"              CARMEN DE ARECO                        ESCUELA DE EDUCACIÓN PRIMARIA
0020DE0701    ESCUELA DE ADULTOS Nº701 "FRAY LUIS BELTRAN"                     DAIREAUX                               ESCUELA DE ADULTOS (EGBA)
0020EE0501    ESCUELA ESPECIAL Nº501 "5 DE JULIO DE 1910"                      DAIREAUX                               ESCUELA DE EDUCACIÓN ESPECIAL
0020EE0501    ESCUELA ESPECIAL Nº501 "5 DE JULIO DE 1910"                      DAIREAUX                               ESCUELA DE EDUCACIÓN ESPECIAL
0020EE0501    ESCUELA ESPECIAL Nº501 "5 DE JULIO DE 1910"                      DAIREAUX                               ESCUELA DE EDUCACIÓN ESPECIAL
0020EE0501    ESCUELA ESPECIAL Nº501 "5 DE JULIO DE 1910"                      DAIREAUX                               ESCUELA DE EDUCACIÓN ESPECIAL
0020ET0001    C.E.A.T. Nº1                                                     DAIREAUX                               CENTRO DE ESTIMULACIÓN Y APRENDIZAJES TEMPRANOS
0020JI0901    JARDIN DE INFANTES Nº901 "TAMBOR DE TACUARÍ"                     DAIREAUX                               JARDÍN DE INFANTES
0020JI0902    JARDIN DE INFANTES Nº902 "MERCEDITAS DE SAN MARTIN"              DAIREAUX                               JARDÍN DE INFANTES
0020JI0903    JARDIN DE INFANTES Nº903 "ROSARIO VERA PEÑALOZA"                 SALAZAR                                JARDÍN DE INFANTES
0020JI0904    JARDIN DE INFANTES Nº904                                         ARBOLEDAS                              JARDÍN DE INFANTES
0020JI0905    JARDIN DE INFANTES Nº905                                         LA LARGA                               JARDÍN DE INFANTES
0020JI0906    JARDIN DE INFANTES Nº906 "LOS GRANADEROS"                        ANDANT                                 JARDÍN DE INFANTES
0020JI0907    JARDIN DE INFANTES Nº907                                         DAIREAUX                               JARDÍN DE INFANTES
0020JS0001    JARDIN DE INFANTES RURAL Nº1                                     DAIREAUX                               JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0020JS0002    JARDIN DE INFANTES RURAL Nº2                                     SALAZAR                                JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0020JS0003    JARDIN DE INFANTES RURAL Nº3                                     SALAZAR                                JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0020JS0004    JARDIN DE INFANTES RURAL Nº4                                     DAIREAUX                               JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0020JS0005    JARDIN DE INFANTES RURAL Nº5                                     LOUGE                                  JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0020JS0006    JARDIN DE INFANTES RURAL Nº6                                     LA MANUELA                             JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0020JS0007    JARDIN DE INFANTES RURAL Nº7                                     SANTA CLARA                            JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0020JS0008    JARDIN DE INFANTES RURAL Nº8                                     DAIREAUX                               JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0020JS0009    JARDIN DE INFANTES RURAL Nº9                                     ANDANT                                 JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0020MC0027    CENTRO EDUCATIVO PARA LA PRODUCCIÓN TOTAL Nº27                   ARBOLEDAS                              CENTRO EDUCATIVO DE LA PRODUCCIÓN TOTAL (CEPT)
0020MS0001    ESCUELA DE EDUCACIÓN SECUNDARIA Nº1 "ELSA LORENZO"               SALAZAR                                ESCUELA SECUNDARIA
0020MS0001    ESCUELA DE EDUCACIÓN SECUNDARIA Nº1 "ELSA LORENZO"               SALAZAR                                ESCUELA SECUNDARIA
0020MS0002    ESCUELA DE EDUCACIÓN SECUNDARIA Nº2 "GRAL. JOSE DE SAN MARTIN"   DAIREAUX                               ESCUELA SECUNDARIA
0020MS0003    ESCUELA DE EDUCACIÓN SECUNDARIA Nº3                              LA LARGA                               ESCUELA SECUNDARIA
0020MS0004    ESCUELA DE EDUCACIÓN SECUNDARIA Nº4                              DAIREAUX                               ESCUELA SECUNDARIA
0020MS0005    ESCUELA DE EDUCACIÓN SECUNDARIA Nº5                              ARBOLEDAS                              ESCUELA SECUNDARIA
0020MS0006    ESCUELA DE EDUCACIÓN SECUNDARIA Nº6                              DAIREAUX                               ESCUELA SECUNDARIA
0020MT0001    ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº1 "CEFERINO NAMUNCURÁ" DAIREAUX                               ESCUELA TÉCNICA
0020MT0001    ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº1 "CEFERINO NAMUNCURÁ" DAIREAUX                               ESCUELA TÉCNICA
0020PP0001    ESCUELA DE EDUCACIÓN PRIMARIA Nº1 "GENERAL MANUEL BELGRANO"      DAIREAUX                               ESCUELA DE EDUCACIÓN PRIMARIA
0020PP0002    ESCUELA DE EDUCACIÓN PRIMARIA Nº2 "HIPOLITO YRIGOYEN"            LA LARGA                               ESCUELA DE EDUCACIÓN PRIMARIA
0020PP0003    ESCUELA DE EDUCACIÓN PRIMARIA Nº3 "PROVINCIA DE TUCUMAN"         DAIREAUX                               ESCUELA DE EDUCACIÓN PRIMARIA
0020PP0004    ESCUELA DE EDUCACIÓN PRIMARIA Nº4 "JORGE Y MARIA B. DE ANDANT"   ANDANT                                 ESCUELA DE EDUCACIÓN PRIMARIA
0020PP0005    ESCUELA DE EDUCACIÓN PRIMARIA Nº5 "JUAN JOSE PASO"               DAIREAUX                               ESCUELA DE EDUCACIÓN PRIMARIA
0020PP0006    ESCUELA DE EDUCACIÓN PRIMARIA Nº6 "MALVINAS ARGENTINAS"          DAIREAUX                               ESCUELA DE EDUCACIÓN PRIMARIA
0020PP0008    ESCUELA DE EDUCACIÓN PRIMARIA Nº8 "GENERAL DON JOSE DE SAN MARTINARBOLEDAS                              ESCUELA DE EDUCACIÓN PRIMARIA
0020PP0010    ESCUELA DE EDUCACIÓN PRIMARIA Nº10 "DOMINGO FAUSTINO SARMIENTO"  DAIREAUX                               ESCUELA DE EDUCACIÓN PRIMARIA
0020PP0011    ESCUELA DE EDUCACIÓN PRIMARIA Nº11 "CONSTANCIO C. VIGIL"         DAIREAUX                               ESCUELA DE EDUCACIÓN PRIMARIA
0020PP0016    ESCUELA DE EDUCACIÓN PRIMARIA Nº16 "PAULA ALBARRACIN"            LURO                                   ESCUELA DE EDUCACIÓN PRIMARIA
0020PP0017    ESCUELA DE EDUCACIÓN PRIMARIA Nº17 "JOSE MANUEL ESTRADA"         ANDANT                                 ESCUELA DE EDUCACIÓN PRIMARIA
0020PP0019    ESCUELA DE EDUCACIÓN PRIMARIA Nº19 "TAMBOR DE TACUARI"           SALAZAR                                ESCUELA DE EDUCACIÓN PRIMARIA
0020PP0026    ESCUELA DE EDUCACIÓN PRIMARIA Nº26 "FRAY JUSTO SANTA MARIA DE ORODAIREAUX                               ESCUELA DE EDUCACIÓN PRIMARIA
0020PP0028    ESCUELA DE EDUCACIÓN PRIMARIA Nº28 "NIÑAS DE AYOHUMA"            SALAZAR                                ESCUELA DE EDUCACIÓN PRIMARIA
0020PP0030    ESCUELA DE EDUCACIÓN PRIMARIA Nº30 "GENERAL MARTIN MIGUEL DE GÜEMDAIREAUX                               ESCUELA DE EDUCACIÓN PRIMARIA
0020PP0031    ESCUELA DE EDUCACIÓN PRIMARIA Nº31 "CAMPAÑA DEL DESIERTO 1879"   DAIREAUX                               ESCUELA DE EDUCACIÓN PRIMARIA
0020PP0032    ESCUELA DE EDUCACIÓN PRIMARIA Nº32 "ARMADA ARGENTINA"            DAIREAUX                               ESCUELA DE EDUCACIÓN PRIMARIA
0020PP0034    ESCUELA DE EDUCACIÓN PRIMARIA Nº34 "RAIMUNDO SALAZAR"            SALAZAR                                ESCUELA DE EDUCACIÓN PRIMARIA
0020PP0035    ESCUELA DE EDUCACIÓN PRIMARIA Nº35 "JULIO ARGENTINO ROCA"        DAIREAUX                               ESCUELA DE EDUCACIÓN PRIMARIA
0021DE0701    ESCUELA DE ADULTOS Nº701 "JOSÉ HERNANDEZ"                        CASTELLI                               ESCUELA DE ADULTOS (EGBA)
0021EE0501    ESCUELA ESPECIAL Nº501 "OSVALDO M. ZARINI"                       CASTELLI                               ESCUELA DE EDUCACIÓN ESPECIAL
0021EE0501    ESCUELA ESPECIAL Nº501 "OSVALDO M. ZARINI"                       CASTELLI                               ESCUELA DE EDUCACIÓN ESPECIAL
0021EE0501    ESCUELA ESPECIAL Nº501 "OSVALDO M. ZARINI"                       CASTELLI                               ESCUELA DE EDUCACIÓN ESPECIAL
0021EE0501    ESCUELA ESPECIAL Nº501 "OSVALDO M. ZARINI"                       CASTELLI                               ESCUELA DE EDUCACIÓN ESPECIAL
0021IS2260    EXTENSION A INSTITUTO SUPERIOR Nº26 (DOLORES)                    CASTELLI                               INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
0021JI0901    JARDIN DE INFANTES Nº901 "TAMBOR DE TACUARI"                     CASTELLI                               JARDÍN DE INFANTES
0021JI0902    JARDIN DE INFANTES Nº902 "ROSARIO VERA PEÑALOZA"                 CASTELLI                               JARDÍN DE INFANTES
0021JI0903    JARDIN DE INFANTES Nº903 "MERCEDITAS"                            CASTELLI                               JARDÍN DE INFANTES
0021JI0904    JARDIN DE INFANTES Nº904 "RUFINA ESCANDON DE O. LEARY"           CASTELLI                               JARDÍN DE INFANTES
0021JS0001    JARDIN DE INFANTES RURAL Nº1                                     CASTELLI                               JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0021JS0002    JARDIN DE INFANTES RURAL Nº2                                     LA CALIFORNIA                          JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0021MS0001    ESCUELA DE EDUCACIÓN SECUNDARIA Nº1                              CASTELLI                               ESCUELA SECUNDARIA
0021MS0001    ESCUELA DE EDUCACIÓN SECUNDARIA Nº1                              CASTELLI                               ESCUELA SECUNDARIA
0021MS0001    ESCUELA DE EDUCACIÓN SECUNDARIA Nº1                              CASTELLI                               ESCUELA SECUNDARIA
0021MS2010    EXTENSIÓN I DE LA ESCUELA DE EDUCACIÓN SECUNDARIA Nº1            CASTELLI                               ESCUELA SECUNDARIA
0021PP0001    ESCUELA DE EDUCACIÓN PRIMARIA Nº1 "DOMINGO FAUSTINO SARMIENTO"   CASTELLI                               ESCUELA DE EDUCACIÓN PRIMARIA
0021PP0002    ESCUELA DE EDUCACIÓN PRIMARIA Nº2 "JUAN BAUTISTA ALBERDI"        CASTELLI                               ESCUELA DE EDUCACIÓN PRIMARIA
0021PP0003    ESCUELA DE EDUCACIÓN PRIMARIA Nº3 "GENERAL JOSE DE SAN MARTIN"   CASTELLI                               ESCUELA DE EDUCACIÓN PRIMARIA
0021PP0004    ESCUELA DE EDUCACIÓN PRIMARIA Nº4 "JOSE MANUEL ESTRADA"          CASTELLI                               ESCUELA DE EDUCACIÓN PRIMARIA
0021PP0005    ESCUELA DE EDUCACIÓN PRIMARIA Nº5 "HIPOLITO YRIGOYEN"            CASTELLI                               ESCUELA DE EDUCACIÓN PRIMARIA
0021PP0006    ESCUELA DE EDUCACIÓN PRIMARIA Nº6 "MARIANO MORENO"               CASTELLI                               ESCUELA DE EDUCACIÓN PRIMARIA
0021PP0007    ESCUELA DE EDUCACIÓN PRIMARIA Nº7 "BERNARDINO RIVADAVIA"         CASTELLI                               ESCUELA DE EDUCACIÓN PRIMARIA
0021PP0008    ESCUELA DE EDUCACIÓN PRIMARIA Nº8 "BARTOLOME MITRE"              CASTELLI                               ESCUELA DE EDUCACIÓN PRIMARIA
0021PP0009    ESCUELA DE EDUCACIÓN PRIMARIA Nº9 "JUAN JOSE CASTELLI"           CASTELLI                               ESCUELA DE EDUCACIÓN PRIMARIA
0021PP0010    ESCUELA DE EDUCACIÓN PRIMARIA Nº10 "MANUEL BELGRANO"             CASTELLI                               ESCUELA DE EDUCACIÓN PRIMARIA
0021PP0011    ESCUELA DE EDUCACIÓN PRIMARIA Nº11 "MARTIN MIGUEL DE GÜEMES"     CASTELLI                               ESCUELA DE EDUCACIÓN PRIMARIA
0021PP0012    ESCUELA DE EDUCACIÓN PRIMARIA Nº12 "ALMIRANTE GUILLERMO BROWN"   CASTELLI                               ESCUELA DE EDUCACIÓN PRIMARIA
0021PP0013    ESCUELA DE EDUCACIÓN PRIMARIA Nº13 "DR. ATILIO VILLA"            CASTELLI                               ESCUELA DE EDUCACIÓN PRIMARIA
0021PP0014    ESCUELA DE EDUCACIÓN PRIMARIA Nº14 "FRAY MAMERTO ESQUIU"         CASTELLI                               ESCUELA DE EDUCACIÓN PRIMARIA
0021PP0015    ESCUELA DE EDUCACIÓN PRIMARIA Nº15 "PEDRO OCHOA"                 CASTELLI                               ESCUELA DE EDUCACIÓN PRIMARIA
0021PP0016    ESCUELA DE EDUCACIÓN PRIMARIA Nº16 "CONSTANCIO C. VIGIL"         CASTELLI                               ESCUELA DE EDUCACIÓN PRIMARIA
0021PP0017    ESCUELA DE EDUCACIÓN PRIMARIA Nº17 "GENERAL JUAN LAVALLE"        CASTELLI                               ESCUELA DE EDUCACIÓN PRIMARIA
0021PP0019    ESCUELA DE EDUCACIÓN PRIMARIA Nº19 "EL TAMBOR DE TACUARI"        CASTELLI                               ESCUELA DE EDUCACIÓN PRIMARIA
0022DC0704    CENTRO DE ADULTOS Nº704/01                                       COLON                                  CENTRO DE ADULTOS (EGBA)
0022DC0706    CENTRO DE ADULTOS Nº706/01                                       COLON                                  CENTRO DE ADULTOS (EGBA)
0022DE0701    ESCUELA DE ADULTOS Nº701 "CESAR BARISONE"                        COLON                                  ESCUELA DE ADULTOS (EGBA)
0022EE0501    ESCUELA ESPECIAL Nº501                                           COLON                                  ESCUELA DE EDUCACIÓN ESPECIAL
0022EE0501    ESCUELA ESPECIAL Nº501                                           COLON                                  ESCUELA DE EDUCACIÓN ESPECIAL
0022EE0501    ESCUELA ESPECIAL Nº501                                           COLON                                  ESCUELA DE EDUCACIÓN ESPECIAL
0022EE0501    ESCUELA ESPECIAL Nº501                                           COLON                                  ESCUELA DE EDUCACIÓN ESPECIAL
0022ET0001    CENTRO DE ATENCION TEMPRANA DEL DESARROLLO INFANTIL Nº1          COLON                                  CENTRO DE ESTIMULACIÓN Y APRENDIZAJES TEMPRANOS
0022IS0124    INSTITUTO SUPERIOR DE FORMACION DOCENTE Y TECNICA Nº124          COLON                                  INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
0022JI0901    JARDIN DE INFANTES Nº901 "JUANA MANSO"                           COLON                                  JARDÍN DE INFANTES
0022JI0902    JARDIN DE INFANTES Nº902                                         COLON                                  JARDÍN DE INFANTES
0022JI0903    JARDIN DE INFANTES Nº903 "ALEJANDRA MARICEL MAJOS"               PEARSON                                JARDÍN DE INFANTES
0022JI0904    JARDIN DE INFANTES Nº904                                         VILLA MANUEL POM                       JARDÍN DE INFANTES
0022JI0905    JARDIN DE INFANTES Nº905 "MARÍA TERESA LAVALLOL DE ATUCHA"       SARASA                                 JARDÍN DE INFANTES
0022JI0906    JARDIN DE INFANTES Nº906                                         COLON                                  JARDÍN DE INFANTES
0022JI0907    JARDIN DE INFANTES Nº907                                         COLON                                  JARDÍN DE INFANTES
0022JI0908    JARDIN DE INFANTES Nº908                                         COLON                                  JARDÍN DE INFANTES
0022JI0909    JARDIN DE INFANTES Nº909 "GENERAL DON JOSE DE SAN MARTIN"        COLON                                  JARDÍN DE INFANTES
0022JI0910    JARDIN DE INFANTES Nº910                                         COLON                                  JARDÍN DE INFANTES
0022JS0001    JARDIN DE INFANTES RURAL Nº1                                     LAS GAMAS                              JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
